step,value,hop,seed,variant,metric
10,35.621700286865234,hop0,42,full,Train Loss
20,7.653299808502197,hop0,42,full,Train Loss
30,6.19789981842041,hop0,42,full,Train Loss
40,5.942999839782715,hop0,42,full,Train Loss
50,5.3632001876831055,hop0,42,full,Train Loss
60,5.375199794769287,hop0,42,full,Train Loss
70,5.147500038146973,hop0,42,full,Train Loss
80,5.01609992980957,hop0,42,full,Train Loss
90,5.061500072479248,hop0,42,full,Train Loss
100,5.123799800872803,hop0,42,full,Train Loss
110,4.832399845123291,hop0,42,full,Train Loss
120,4.904600143432617,hop0,42,full,Train Loss
130,4.8317999839782715,hop0,42,full,Train Loss
140,4.689899921417236,hop0,42,full,Train Loss
150,4.478499889373779,hop0,42,full,Train Loss
160,4.462699890136719,hop0,42,full,Train Loss
170,4.285999774932861,hop0,42,full,Train Loss
180,4.428500175476074,hop0,42,full,Train Loss
190,4.391900062561035,hop0,42,full,Train Loss
200,4.617499828338623,hop0,42,full,Train Loss
210,4.25029993057251,hop0,42,full,Train Loss
220,4.453199863433838,hop0,42,full,Train Loss
230,4.481500148773193,hop0,42,full,Train Loss
240,4.089200019836426,hop0,42,full,Train Loss
250,4.254799842834473,hop0,42,full,Train Loss
260,4.359099864959717,hop0,42,full,Train Loss
270,4.10129976272583,hop0,42,full,Train Loss
280,4.261899948120117,hop0,42,full,Train Loss
290,4.234899997711182,hop0,42,full,Train Loss
300,3.9437999725341797,hop0,42,full,Train Loss
310,3.7114999294281006,hop0,42,full,Train Loss
320,3.7492001056671143,hop0,42,full,Train Loss
330,3.6856000423431396,hop0,42,full,Train Loss
340,3.9439001083374023,hop0,42,full,Train Loss
350,3.7671000957489014,hop0,42,full,Train Loss
360,3.753000020980835,hop0,42,full,Train Loss
370,3.7481000423431396,hop0,42,full,Train Loss
380,3.6786000728607178,hop0,42,full,Train Loss
390,3.7147998809814453,hop0,42,full,Train Loss
400,3.7969000339508057,hop0,42,full,Train Loss
410,3.502000093460083,hop0,42,full,Train Loss
420,3.709700107574463,hop0,42,full,Train Loss
430,3.6036999225616455,hop0,42,full,Train Loss
440,3.5618999004364014,hop0,42,full,Train Loss
450,3.2358999252319336,hop0,42,full,Train Loss
460,3.2409000396728516,hop0,42,full,Train Loss
470,3.135499954223633,hop0,42,full,Train Loss
480,3.3206000328063965,hop0,42,full,Train Loss
490,3.251199960708618,hop0,42,full,Train Loss
500,3.313699960708618,hop0,42,full,Train Loss
510,3.1428000926971436,hop0,42,full,Train Loss
520,3.2149999141693115,hop0,42,full,Train Loss
530,3.1884000301361084,hop0,42,full,Train Loss
540,3.213399887084961,hop0,42,full,Train Loss
550,3.242300033569336,hop0,42,full,Train Loss
560,3.135699987411499,hop0,42,full,Train Loss
570,2.9911000728607178,hop0,42,full,Train Loss
580,3.08270001411438,hop0,42,full,Train Loss
580,4.680901527404785,hop0,42,full,Train Loss (final)
10,0.0001986087008845061,hop0,42,full,Learning Rate
20,0.00019513042934704572,hop0,42,full,Learning Rate
30,0.00019165217236150056,hop0,42,full,Learning Rate
40,0.0001881739153759554,hop0,42,full,Learning Rate
50,0.00018469565839041024,hop0,42,full,Learning Rate
60,0.00018121738685294986,hop0,42,full,Learning Rate
70,0.0001777391298674047,hop0,42,full,Learning Rate
80,0.00017426087288185954,hop0,42,full,Learning Rate
90,0.00017078261589631438,hop0,42,full,Learning Rate
100,0.000167304344358854,hop0,42,full,Learning Rate
110,0.00016382608737330884,hop0,42,full,Learning Rate
120,0.00016034783038776368,hop0,42,full,Learning Rate
130,0.0001568695588503033,hop0,42,full,Learning Rate
140,0.00015339130186475813,hop0,42,full,Learning Rate
150,0.00014991304487921298,hop0,42,full,Learning Rate
160,0.00014643478789366782,hop0,42,full,Learning Rate
170,0.00014295651635620743,hop0,42,full,Learning Rate
180,0.00013947825937066227,hop0,42,full,Learning Rate
190,0.00013600000238511711,hop0,42,full,Learning Rate
200,0.00013252174539957196,hop0,42,full,Learning Rate
210,0.00012904347386211157,hop0,42,full,Learning Rate
220,0.0001255652168765664,hop0,42,full,Learning Rate
230,0.00012208695989102125,hop0,42,full,Learning Rate
240,0.00011860869562951848,hop0,42,full,Learning Rate
250,0.0001151304313680157,hop0,42,full,Learning Rate
260,0.00011165217438247055,hop0,42,full,Learning Rate
270,0.00010817391012096778,hop0,42,full,Learning Rate
280,0.00010469565313542262,hop0,42,full,Learning Rate
290,0.00010121738887391984,hop0,42,full,Learning Rate
300,9.773913188837469e-05,hop0,42,full,Learning Rate
310,9.426086762687191e-05,hop0,42,full,Learning Rate
320,9.078261064132676e-05,hop0,42,full,Learning Rate
330,8.730434637982398e-05,hop0,42,full,Learning Rate
340,8.382608939427882e-05,hop0,42,full,Learning Rate
350,8.034782513277605e-05,hop0,42,full,Learning Rate
360,7.68695681472309e-05,hop0,42,full,Learning Rate
370,7.339130388572812e-05,hop0,42,full,Learning Rate
380,6.991304690018296e-05,hop0,42,full,Learning Rate
390,6.643478263868019e-05,hop0,42,full,Learning Rate
400,6.295651837717742e-05,hop0,42,full,Learning Rate
410,5.947826139163226e-05,hop0,42,full,Learning Rate
420,5.6000000768108293e-05,hop0,42,full,Learning Rate
430,5.252174014458433e-05,hop0,42,full,Learning Rate
440,4.904347952106036e-05,hop0,42,full,Learning Rate
450,4.55652188975364e-05,hop0,42,full,Learning Rate
460,4.208695827401243e-05,hop0,42,full,Learning Rate
470,3.860869401250966e-05,hop0,42,full,Learning Rate
480,3.5130433388985693e-05,hop0,42,full,Learning Rate
490,3.165217276546173e-05,hop0,42,full,Learning Rate
500,2.8173912141937762e-05,hop0,42,full,Learning Rate
510,2.4695651518413797e-05,hop0,42,full,Learning Rate
520,2.121739089488983e-05,hop0,42,full,Learning Rate
530,1.7739130271365866e-05,hop0,42,full,Learning Rate
540,1.42608696478419e-05,hop0,42,full,Learning Rate
550,1.0782609024317935e-05,hop0,42,full,Learning Rate
560,7.304347946046619e-06,hop0,42,full,Learning Rate
570,3.826086867775302e-06,hop0,42,full,Learning Rate
580,3.478260737210803e-07,hop0,42,full,Learning Rate
10,31.756851196289062,hop0,42,full,Grad Norm
20,10.837461471557617,hop0,42,full,Grad Norm
30,10.122200012207031,hop0,42,full,Grad Norm
40,7.369124412536621,hop0,42,full,Grad Norm
50,8.027998924255371,hop0,42,full,Grad Norm
60,7.098740100860596,hop0,42,full,Grad Norm
70,7.898351192474365,hop0,42,full,Grad Norm
80,13.458553314208984,hop0,42,full,Grad Norm
90,7.658386707305908,hop0,42,full,Grad Norm
100,9.397315979003906,hop0,42,full,Grad Norm
110,8.14498519897461,hop0,42,full,Grad Norm
120,7.154158592224121,hop0,42,full,Grad Norm
130,9.758516311645508,hop0,42,full,Grad Norm
140,7.3992462158203125,hop0,42,full,Grad Norm
150,8.692179679870605,hop0,42,full,Grad Norm
160,6.6863298416137695,hop0,42,full,Grad Norm
170,8.667773246765137,hop0,42,full,Grad Norm
180,8.216497421264648,hop0,42,full,Grad Norm
190,10.14761734008789,hop0,42,full,Grad Norm
200,9.983576774597168,hop0,42,full,Grad Norm
210,10.574136734008789,hop0,42,full,Grad Norm
220,9.625208854675293,hop0,42,full,Grad Norm
230,7.645951271057129,hop0,42,full,Grad Norm
240,7.288147926330566,hop0,42,full,Grad Norm
250,14.116342544555664,hop0,42,full,Grad Norm
260,9.180312156677246,hop0,42,full,Grad Norm
270,7.792740821838379,hop0,42,full,Grad Norm
280,7.915070533752441,hop0,42,full,Grad Norm
290,7.084028244018555,hop0,42,full,Grad Norm
300,9.853866577148438,hop0,42,full,Grad Norm
310,7.933396339416504,hop0,42,full,Grad Norm
320,8.040844917297363,hop0,42,full,Grad Norm
330,7.7209153175354,hop0,42,full,Grad Norm
340,8.897859573364258,hop0,42,full,Grad Norm
350,9.080887794494629,hop0,42,full,Grad Norm
360,7.233151912689209,hop0,42,full,Grad Norm
370,7.397870063781738,hop0,42,full,Grad Norm
380,9.217708587646484,hop0,42,full,Grad Norm
390,8.7174072265625,hop0,42,full,Grad Norm
400,10.663917541503906,hop0,42,full,Grad Norm
410,10.285989761352539,hop0,42,full,Grad Norm
420,8.005439758300781,hop0,42,full,Grad Norm
430,7.571203708648682,hop0,42,full,Grad Norm
440,7.18170690536499,hop0,42,full,Grad Norm
450,8.586095809936523,hop0,42,full,Grad Norm
460,7.967456340789795,hop0,42,full,Grad Norm
470,8.748512268066406,hop0,42,full,Grad Norm
480,7.565834999084473,hop0,42,full,Grad Norm
490,7.958066940307617,hop0,42,full,Grad Norm
500,8.498004913330078,hop0,42,full,Grad Norm
510,7.629275798797607,hop0,42,full,Grad Norm
520,8.280041694641113,hop0,42,full,Grad Norm
530,7.695594787597656,hop0,42,full,Grad Norm
540,17.541202545166016,hop0,42,full,Grad Norm
550,8.629791259765625,hop0,42,full,Grad Norm
560,7.578915119171143,hop0,42,full,Grad Norm
570,9.769625663757324,hop0,42,full,Grad Norm
580,9.046293258666992,hop0,42,full,Grad Norm
10,0.7527090311050415,hop0,42,full,Token Accuracy
20,0.8192891478538513,hop0,42,full,Token Accuracy
30,0.8465333580970764,hop0,42,full,Token Accuracy
40,0.852117657661438,hop0,42,full,Token Accuracy
50,0.8666709065437317,hop0,42,full,Token Accuracy
60,0.8615765571594238,hop0,42,full,Token Accuracy
70,0.8690698146820068,hop0,42,full,Token Accuracy
80,0.8721513748168945,hop0,42,full,Token Accuracy
90,0.8710228800773621,hop0,42,full,Token Accuracy
100,0.8692663311958313,hop0,42,full,Token Accuracy
110,0.8754298090934753,hop0,42,full,Token Accuracy
120,0.8730095624923706,hop0,42,full,Token Accuracy
130,0.874497652053833,hop0,42,full,Token Accuracy
