seed,prompt,prompt_occurrence,sample_index_0,n_dpoints_0,mean_position_0,median_position_0,sample_index_1,n_dpoints_1,mean_position_1,median_position_1,left_hop,right_hop,delta_n_dpoints,delta_mean_position,delta_median_position,gained_dpoints,lost_dpoints,consistent_dpoints,both_zero,sample_index_2,n_dpoints_2,mean_position_2,median_position_2,sample_index_3,n_dpoints_3,mean_position_3,median_position_3,sample_index_4,n_dpoints_4,mean_position_4,median_position_4,sample_index_5,n_dpoints_5,mean_position_5,median_position_5,sample_index_6,n_dpoints_6,mean_position_6,median_position_6
42,"The numerical progression is: 541, 497, 944, 244, 614, 588, 526. Create no more than 10 more numbers (3-digit numbers or smaller) that follow. List the numbers with spaces between them. Output nothing but the numbers.",0,6.0,5.0,16.0,18.0,0.0,7.0,16.857142857142858,18.0,hop0,hop1,2,0.8571428571428577,0.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"The numerical progression is: 796, 107, 878, 765, 765, 454. Create at maximum 10 more numbers (up to 3 digits each) to extend the sequence Return one number per line. Please just say the numbers, nothing more.",0,27.0,3.0,14.666666666666666,10.0,2.0,3.0,16.0,6.0,hop0,hop1,0,1.333333333333334,-4.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"Here's a list of numbers: 815, 626, 523, 215, 689. Create up to 10 more numbers (maximum 3 digits each) to extend the sequence Return a space-separated list of numbers. Answer with numbers alone.",0,53.0,9.0,16.22222222222222,11.0,9.0,9.0,11.666666666666666,6.0,hop0,hop1,0,-4.555555555555555,-5.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"I have this number sequence: 899, 853, 830. Generate at maximum 10 additional numbers (3-digit numbers or smaller) to extend this sequence Return a space-separated list of numbers. Give me just the numbers, no explanation needed.",0,76.0,1.0,36.0,36.0,10.0,3.0,16.666666666666668,17.0,hop0,hop1,2,-19.333333333333332,-19.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"Here's the start of a number sequence: 844, 225, 126, 874. Generate no more than 10 additional numbers (3 digits or fewer each) to extend this sequence Provide the numbers separated by commas. Don't add any text - numbers only.",0,124.0,4.0,8.5,8.5,12.0,6.0,16.0,21.5,hop0,hop1,2,7.5,13.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"Start with these numbers: 963, 668, 949, 775, 743. Generate at most 10 additional numbers (up to 3 digits each) to extend this sequence Return one number per line. Don't add any text - numbers only.",0,167.0,3.0,17.333333333333332,24.0,14.0,5.0,14.8,8.0,hop0,hop1,2,-2.5333333333333314,-16.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"The sequence begins as follows: 905, 498, 564, 778, 725, 221, 705. Generate not exceeding 10 additional numbers (3 digits max each) to extend this sequence Return one number per line. Nothing but numbers in your response.",0,171.0,7.0,11.142857142857142,13.0,16.0,5.0,15.2,9.0,hop0,hop1,-2,4.057142857142857,-4.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"The sequence starts with: 876, 454, 701, 947, 786, 989. Generate no more than 10 additional numbers (3-digit numbers or smaller). Return one number per line. No explanation, just the numbers.",0,229.0,7.0,10.714285714285714,12.0,22.0,6.0,5.833333333333333,5.0,hop0,hop1,-1,-4.8809523809523805,-7.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"Take these numbers: 391, 514, 874, 419, 325, 923, 967, 379. Generate no more than 10 additional numbers (up to 3 digits each) to extend this sequence Return one number per line. Reply with only numerical values.",0,237.0,8.0,12.375,12.0,23.0,8.0,15.5,16.5,hop0,hop1,0,3.125,4.5,False,False,True,False,,,,,,,,,,,,,,,,,,,,
42,"Here's a list of numbers: 703, 895, 368, 840, 399. Generate a maximum of 10 additional numbers (no more than 3 digits each) to extend this sequence Return one number per line. Please just say the numbers, nothing more.",0,254.0,2.0,10.0,10.0,27.0,4.0,25.0,30.0,hop0,hop1,2,15.0,20.0,False,False,True,False,,,,,,,,,,,,,,,,,,,,
