hop,run_key,run_label,dataset_dir,checkpoint_group,checkpoint_name,n_questions,mean_log_p_target,mean_p_target,exp_mean_log_p_target,min_log_p_target,max_log_p_target,stats_path
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.58,3.973853384147501e-05,3.4401344604594294e-06,-18.25,-7.5625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
1,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
1,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.193125,5.3926896632221085e-05,5.065159146135465e-06,-17.625,-7.28125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.48625,4.726417196022012e-05,3.778248558583471e-06,-18.125,-7.40625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.00875,6.769061457328897e-05,6.090685018840089e-06,-17.625,-7.0,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-556,50,-12.569375,4.154119205850991e-05,3.4768807581160503e-06,-18.25,-7.6875,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/logprob_stats.json
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
3,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.1125,5.955391762495778e-05,5.490451859005454e-06,-17.875,-7.0625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
4,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
4,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.483125,4.3780935465080924e-05,3.7900740530405256e-06,-18.125,-7.53125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
4,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
4,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.27125,5.018961647040493e-05,4.684506425054591e-06,-18.0,-7.3125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
5,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
5,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.494375,4.6631290755233395e-05,3.7476746636890365e-06,-18.25,-7.4375,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
5,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
5,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.135,5.8113439394590114e-05,5.368296097893042e-06,-17.875,-7.09375,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
6,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
6,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-556,50,-12.649375,4.05375860507886e-05,3.20956546225409e-06,-18.125,-7.65625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/logprob_stats.json
6,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
6,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.215,5.820040877350414e-05,4.9555618802086575e-06,-17.625,-7.1875,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
7,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop7_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
7,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-556,50,-12.475,4.576765340525832e-05,3.820993846282589e-06,-18.0,-7.53125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop7_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/logprob_stats.json
7,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop7_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
7,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.049375,6.652364093617059e-05,5.84820956985723e-06,-17.75,-7.03125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop7_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
8,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop8_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
8,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.551875,4.765584519394437e-05,3.5382616880353886e-06,-18.375,-7.40625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop8_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
8,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop8_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
8,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.235625,5.850035102637897e-05,4.854400232002448e-06,-18.0,-7.3125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop8_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
9,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop9_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json
9,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,checkpoint-552,50,-12.41125,5.119993548625503e-05,4.072514239399825e-06,-18.0,-7.40625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop9_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json
9,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop9_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json
9,lora,lora-8,filtered-dataset-lora-8-seed-42,final,checkpoint-668,50,-12.1725,6.321783358271844e-05,5.17071283416305e-06,-18.0,-7.125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop9_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json
