hop,run_key,run_label,dataset_dir,checkpoint_group_base,checkpoint_name_base,n_questions_base,mean_log_p_target_base,mean_p_target_base,exp_mean_log_p_target_base,min_log_p_target_base,max_log_p_target_base,stats_path_base,checkpoint_group_final,checkpoint_name_final,n_questions_final,mean_log_p_target_final,mean_p_target_final,exp_mean_log_p_target_final,min_log_p_target_final,max_log_p_target_final,stats_path_final,delta_mean_log_p_target,delta_mean_p_target,ratio_mean_p_target,percent_change_mean_p_target
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-552,50,-12.58,3.973853384147501e-05,3.4401344604594294e-06,-18.25,-7.5625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json,-0.19687500000000036,-7.643469494260995e-06,0.838684121477485,-16.131587852251506
1,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.193125,5.3926896632221085e-05,5.065159146135465e-06,-17.625,-7.28125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.1899999999999995,6.544893296485079e-06,1.1381303624945898,13.813036249458976
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-552,50,-12.48625,4.726417196022012e-05,3.778248558583471e-06,-18.125,-7.40625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json,-0.10312500000000036,-1.178313755158879e-07,0.99751316180785,-0.24868381921500093
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.00875,6.769061457328897e-05,6.090685018840089e-06,-17.625,-7.0,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.37437500000000057,2.0308611237552966e-05,1.4286144486895513,42.86144486895513
3,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-556,50,-12.569375,4.154119205850991e-05,3.4768807581160503e-06,-18.25,-7.6875,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/logprob_stats.json,-0.18625000000000114,-5.8408112772260945e-06,0.8767293304202507,-12.32706695797493
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.1125,5.955391762495778e-05,5.490451859005454e-06,-17.875,-7.0625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.270624999999999,1.2171914289221774e-05,1.2568889753979986,25.68889753979986
4,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-552,50,-12.483125,4.3780935465080924e-05,3.7900740530405256e-06,-18.125,-7.53125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json,-0.09999999999999964,-3.6010678706550816e-06,0.9239992482981588,-7.600075170184118
4,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.27125,5.018961647040493e-05,4.684506425054591e-06,-18.0,-7.3125,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop4_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.1118749999999995,2.807613134668927e-06,1.059254842282099,5.92548422820991
5,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-552,50,-12.494375,4.6631290755233395e-05,3.7476746636890365e-06,-18.25,-7.4375,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/logprob_stats.json,-0.11125000000000007,-7.507125805026113e-07,0.9841561663152302,-1.5843833684769826
5,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.135,5.8113439394590114e-05,5.368296097893042e-06,-17.875,-7.09375,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop5_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.24812499999999993,1.0731436058854108e-05,1.2264875966263828,22.648759662638284
6,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-556,50,-12.649375,4.05375860507886e-05,3.20956546225409e-06,-18.125,-7.65625,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-556/logprob_stats.json,-0.26624999999999943,-6.844417284947404e-06,0.8555481659048959,-14.44518340951041
6,lora,lora-8,filtered-dataset-lora-8-seed-42,base,base,50,-12.383125,4.7382003335736006e-05,4.188679620773487e-06,-18.125,-7.5,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/logprob_stats.json,final,checkpoint-668,50,-12.215,5.820040877350414e-05,4.9555618802086575e-06,-17.625,-7.1875,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop6_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/logprob_stats.json,0.16812499999999986,1.0818405437768133e-05,1.2283230905437208,22.83230905437208
