hop,mean_log_p_target,std_log_p_target,mean_p_target
1,-12.193125,2.6651519216781994,5.065159146135465e-06
2,-12.00875,2.672129300763719,6.090685018840089e-06
3,-12.1125,2.6748612697670886,5.490451859005454e-06
4,-12.27125,2.6849292937617557,4.684506425054591e-06
5,-12.135,2.7093331167466284,5.368296097893042e-06
6,-12.215,2.7125982125077055,4.9555618802086575e-06
7,-12.049375,2.6857268132900263,5.84820956985723e-06
8,-12.235625,2.719972498137619,4.854400232002448e-06
9,-12.1725,2.7262414030125797,5.17071283416305e-06
10,-12.249375,2.7147131668235227,4.788109025287065e-06
11,-12.255625,2.6716662199131465,4.758276667108807e-06
