hop,mean_accuracy,std_accuracy,n_samples
hop0,0.8405337564659328,0.11016260779432278,27224
hop1,0.8822213700484112,0.0793950927773951,29071
hop2,0.8891731800670871,0.07129395673520326,29405
hop3,0.8909156953197916,0.07070628583068388,10526
hop4,0.8892417236289929,0.07040575311477579,29601
hop5,0.888843602900706,0.07054546280155333,10853
hop6,0.8879629287255851,0.07090492777754995,10894
hop7,0.8875086984917085,0.07107785626744334,10907
hop8,0.8868363552194231,0.07148148143280852,10924
hop9,0.8860341129995215,0.07156326585924301,10926
