token_idx,classification,changes
0,stable,0
1,stable,0
2,stable,0
3,stable,0
4,stable,0
5,stable,0
6,stable,0
7,stable,0
8,stable,0
9,stable,0
10,stable,0
11,stable,0
12,stable,0
13,stable,0
14,stable,0
15,stable,0
16,stable,0
17,stable,0
18,stable,0
19,stable,0
20,stable,0
21,stable,0
22,stable,0
23,stable,0
24,stable,0
25,stable,0
26,stable,0
27,stable,0
28,stable,0
29,stable,0
30,stable,0
31,stable,0
32,stable,0
33,stable,0
34,stable,0
35,stable,0
36,stable,0
37,stable,0
38,stable,0
39,stable,0
40,stable,0
41,stable,0
42,stable,0
43,stable,0
44,stable,0
45,stable,0
46,stable,0
47,stable,0
48,stable,0
49,stable,0
