hop,mean_count,median_count,std_count,min_count,max_count
hop0,2.007309726711725,2.0,1.6425499597950077,0,11
hop1,2.201644250283788,2.0,1.7747300432621216,0,13
hop2,2.239585104574052,2.0,1.794938214712736,0,15
hop3,2.2155614668440053,2.0,1.7897753341933302,0,12
hop4,2.2041485084963344,2.0,1.7860773538343244,0,16
hop5,2.1981940477287387,2.0,1.7808290552841002,0,11
hop6,2.1902882320543418,2.0,1.7657090179969253,0,11
hop7,2.180709636013569,2.0,1.7612315268037186,0,12
hop8,2.1674295129989014,2.0,1.757360714471963,0,11
hop9,2.16575141863445,2.0,1.754647190679947,0,11
