step,value,hop,seed,variant,metric
10,0.7271999716758728,hop0,42,full,Train Loss
20,0.4339999854564667,hop0,42,full,Train Loss
30,0.3880999982357025,hop0,42,full,Train Loss
40,0.390500009059906,hop0,42,full,Train Loss
50,0.3864000141620636,hop0,42,full,Train Loss
60,0.3725999891757965,hop0,42,full,Train Loss
70,0.3675999939441681,hop0,42,full,Train Loss
80,0.3783999979496002,hop0,42,full,Train Loss
90,0.38850000500679016,hop0,42,full,Train Loss
100,0.3880999982357025,hop0,42,full,Train Loss
110,0.350600004196167,hop0,42,full,Train Loss
120,0.3628999888896942,hop0,42,full,Train Loss
130,0.36500000953674316,hop0,42,full,Train Loss
140,0.3750999867916107,hop0,42,full,Train Loss
150,0.36160001158714294,hop0,42,full,Train Loss
160,0.3855000138282776,hop0,42,full,Train Loss
170,0.3479999899864197,hop0,42,full,Train Loss
180,0.3456000089645386,hop0,42,full,Train Loss
190,0.34369999170303345,hop0,42,full,Train Loss
200,0.3361999988555908,hop0,42,full,Train Loss
210,0.33809998631477356,hop0,42,full,Train Loss
220,0.33709999918937683,hop0,42,full,Train Loss
230,0.329800009727478,hop0,42,full,Train Loss
240,0.33489999175071716,hop0,42,full,Train Loss
250,0.31839999556541443,hop0,42,full,Train Loss
260,0.3345000147819519,hop0,42,full,Train Loss
270,0.3434999883174896,hop0,42,full,Train Loss
280,0.3264999985694885,hop0,42,full,Train Loss
290,0.33889999985694885,hop0,42,full,Train Loss
300,0.32760000228881836,hop0,42,full,Train Loss
310,0.33559998869895935,hop0,42,full,Train Loss
320,0.3481999933719635,hop0,42,full,Train Loss
330,0.33489999175071716,hop0,42,full,Train Loss
340,0.30140000581741333,hop0,42,full,Train Loss
350,0.2879999876022339,hop0,42,full,Train Loss
360,0.28279998898506165,hop0,42,full,Train Loss
370,0.27570000290870667,hop0,42,full,Train Loss
380,0.2978000044822693,hop0,42,full,Train Loss
390,0.26510000228881836,hop0,42,full,Train Loss
400,0.2775999903678894,hop0,42,full,Train Loss
410,0.26969999074935913,hop0,42,full,Train Loss
420,0.27549999952316284,hop0,42,full,Train Loss
430,0.27059999108314514,hop0,42,full,Train Loss
440,0.2809999883174896,hop0,42,full,Train Loss
450,0.26510000228881836,hop0,42,full,Train Loss
460,0.2671000063419342,hop0,42,full,Train Loss
470,0.2842999994754791,hop0,42,full,Train Loss
480,0.28349998593330383,hop0,42,full,Train Loss
490,0.27489998936653137,hop0,42,full,Train Loss
500,0.2700999975204468,hop0,42,full,Train Loss
510,0.2199999988079071,hop0,42,full,Train Loss
520,0.2069000005722046,hop0,42,full,Train Loss
530,0.22310000658035278,hop0,42,full,Train Loss
540,0.19830000400543213,hop0,42,full,Train Loss
550,0.20270000398159027,hop0,42,full,Train Loss
560,0.2020999938249588,hop0,42,full,Train Loss
570,0.20960000157356262,hop0,42,full,Train Loss
