step,value,hop,seed,variant,metric
10,0.7092999815940857,hop0,42,full,Train Loss
20,0.4221000075340271,hop0,42,full,Train Loss
30,0.382099986076355,hop0,42,full,Train Loss
40,0.3797999918460846,hop0,42,full,Train Loss
50,0.37450000643730164,hop0,42,full,Train Loss
60,0.3693000078201294,hop0,42,full,Train Loss
70,0.3693999946117401,hop0,42,full,Train Loss
80,0.3630000054836273,hop0,42,full,Train Loss
90,0.3752000033855438,hop0,42,full,Train Loss
100,0.3862000107765198,hop0,42,full,Train Loss
110,0.38940000534057617,hop0,42,full,Train Loss
120,0.36559998989105225,hop0,42,full,Train Loss
130,0.365200012922287,hop0,42,full,Train Loss
140,0.35409998893737793,hop0,42,full,Train Loss
150,0.36660000681877136,hop0,42,full,Train Loss
160,0.35109999775886536,hop0,42,full,Train Loss
170,0.34380000829696655,hop0,42,full,Train Loss
180,0.3343000113964081,hop0,42,full,Train Loss
190,0.337799996137619,hop0,42,full,Train Loss
200,0.3181999921798706,hop0,42,full,Train Loss
210,0.3433000147342682,hop0,42,full,Train Loss
220,0.32659998536109924,hop0,42,full,Train Loss
230,0.320499986410141,hop0,42,full,Train Loss
240,0.32749998569488525,hop0,42,full,Train Loss
250,0.3319000005722046,hop0,42,full,Train Loss
260,0.3287999927997589,hop0,42,full,Train Loss
270,0.3276999890804291,hop0,42,full,Train Loss
280,0.31690001487731934,hop0,42,full,Train Loss
290,0.3271999955177307,hop0,42,full,Train Loss
300,0.3384999930858612,hop0,42,full,Train Loss
310,0.33320000767707825,hop0,42,full,Train Loss
320,0.33869999647140503,hop0,42,full,Train Loss
330,0.3294999897480011,hop0,42,full,Train Loss
340,0.2964000105857849,hop0,42,full,Train Loss
350,0.2736999988555908,hop0,42,full,Train Loss
360,0.2612999975681305,hop0,42,full,Train Loss
370,0.2766999900341034,hop0,42,full,Train Loss
380,0.2824000120162964,hop0,42,full,Train Loss
390,0.2655999958515167,hop0,42,full,Train Loss
400,0.2621000111103058,hop0,42,full,Train Loss
410,0.2727000117301941,hop0,42,full,Train Loss
420,0.271699994802475,hop0,42,full,Train Loss
430,0.28619998693466187,hop0,42,full,Train Loss
440,0.26339998841285706,hop0,42,full,Train Loss
450,0.257999986410141,hop0,42,full,Train Loss
460,0.2728999853134155,hop0,42,full,Train Loss
470,0.2653000056743622,hop0,42,full,Train Loss
480,0.25940001010894775,hop0,42,full,Train Loss
490,0.2754000127315521,hop0,42,full,Train Loss
500,0.2583000063896179,hop0,42,full,Train Loss
510,0.21250000596046448,hop0,42,full,Train Loss
520,0.21580000221729279,hop0,42,full,Train Loss
530,0.20960000157356262,hop0,42,full,Train Loss
540,0.19769999384880066,hop0,42,full,Train Loss
550,0.20489999651908875,hop0,42,full,Train Loss
560,0.20010000467300415,hop0,42,full,Train Loss
570,0.2004999965429306,hop0,42,full,Train Loss
580,0.18619999289512634,hop0,42,full,Train Loss
590,0.18250000476837158,hop0,42,full,Train Loss
600,0.19349999725818634,hop0,42,full,Train Loss
610,0.1881999969482422,hop0,42,full,Train Loss
620,0.1973000019788742,hop0,42,full,Train Loss
630,0.20110000669956207,hop0,42,full,Train Loss
640,0.19750000536441803,hop0,42,full,Train Loss
650,0.19009999930858612,hop0,42,full,Train Loss
660,0.18619999289512634,hop0,42,full,Train Loss
668,0.29747653007507324,hop0,42,full,Train Loss (final)
10,0.00019879336468875408,hop0,42,full,Learning Rate
20,0.00019577676721382886,hop0,42,full,Learning Rate
30,0.00019276018429081887,hop0,42,full,Learning Rate
40,0.00018974358681589365,hop0,42,full,Learning Rate
50,0.00018672700389288366,hop0,42,full,Learning Rate
60,0.00018371040641795844,hop0,42,full,Learning Rate
70,0.00018069380894303322,hop0,42,full,Learning Rate
80,0.00017767722602002323,hop0,42,full,Learning Rate
90,0.000174660628545098,hop0,42,full,Learning Rate
100,0.00017164404562208802,hop0,42,full,Learning Rate
110,0.0001686274481471628,hop0,42,full,Learning Rate
120,0.0001656108652241528,hop0,42,full,Learning Rate
130,0.00016259426774922758,hop0,42,full,Learning Rate
140,0.00015957767027430236,hop0,42,full,Learning Rate
150,0.00015656108735129237,hop0,42,full,Learning Rate
160,0.00015354448987636715,hop0,42,full,Learning Rate
170,0.00015052790695335716,hop0,42,full,Learning Rate
180,0.00014751130947843194,hop0,42,full,Learning Rate
190,0.00014449472655542195,hop0,42,full,Learning Rate
200,0.00014147812908049673,hop0,42,full,Learning Rate
210,0.0001384615316055715,hop0,42,full,Learning Rate
220,0.00013544494868256152,hop0,42,full,Learning Rate
230,0.0001324283512076363,hop0,42,full,Learning Rate
