step,value,hop,seed,variant,metric
10,35.99599838256836,hop0,42,full,Train Loss
20,7.2052998542785645,hop0,42,full,Train Loss
30,6.248899936676025,hop0,42,full,Train Loss
40,5.927599906921387,hop0,42,full,Train Loss
50,5.674499988555908,hop0,42,full,Train Loss
60,5.3649001121521,hop0,42,full,Train Loss
70,5.331900119781494,hop0,42,full,Train Loss
80,5.640900135040283,hop0,42,full,Train Loss
90,5.231100082397461,hop0,42,full,Train Loss
100,5.321100234985352,hop0,42,full,Train Loss
110,5.111199855804443,hop0,42,full,Train Loss
120,5.3668999671936035,hop0,42,full,Train Loss
130,5.175899982452393,hop0,42,full,Train Loss
140,4.999800205230713,hop0,42,full,Train Loss
150,4.596499919891357,hop0,42,full,Train Loss
160,4.6971001625061035,hop0,42,full,Train Loss
170,4.775199890136719,hop0,42,full,Train Loss
180,4.532400131225586,hop0,42,full,Train Loss
190,4.430600166320801,hop0,42,full,Train Loss
200,4.677700042724609,hop0,42,full,Train Loss
210,4.6305999755859375,hop0,42,full,Train Loss
220,4.550899982452393,hop0,42,full,Train Loss
230,4.704400062561035,hop0,42,full,Train Loss
240,4.333399772644043,hop0,42,full,Train Loss
250,4.502500057220459,hop0,42,full,Train Loss
260,4.5269999504089355,hop0,42,full,Train Loss
270,4.752099990844727,hop0,42,full,Train Loss
280,4.558199882507324,hop0,42,full,Train Loss
290,4.277400016784668,hop0,42,full,Train Loss
300,4.242400169372559,hop0,42,full,Train Loss
310,4.164999961853027,hop0,42,full,Train Loss
320,4.008399963378906,hop0,42,full,Train Loss
330,4.011899948120117,hop0,42,full,Train Loss
340,3.8749001026153564,hop0,42,full,Train Loss
350,3.9444000720977783,hop0,42,full,Train Loss
360,4.0644001960754395,hop0,42,full,Train Loss
370,3.9827001094818115,hop0,42,full,Train Loss
380,3.88319993019104,hop0,42,full,Train Loss
390,4.053400039672852,hop0,42,full,Train Loss
400,4.048900127410889,hop0,42,full,Train Loss
410,4.1346001625061035,hop0,42,full,Train Loss
420,3.8951001167297363,hop0,42,full,Train Loss
430,3.4962000846862793,hop0,42,full,Train Loss
440,3.7600998878479004,hop0,42,full,Train Loss
450,3.5292000770568848,hop0,42,full,Train Loss
460,3.461699962615967,hop0,42,full,Train Loss
470,3.466099977493286,hop0,42,full,Train Loss
480,3.4932000637054443,hop0,42,full,Train Loss
490,3.4934000968933105,hop0,42,full,Train Loss
500,3.5285000801086426,hop0,42,full,Train Loss
510,3.513200044631958,hop0,42,full,Train Loss
520,3.491499900817871,hop0,42,full,Train Loss
530,3.4237000942230225,hop0,42,full,Train Loss
540,3.418800115585327,hop0,42,full,Train Loss
550,3.463099956512451,hop0,42,full,Train Loss
560,3.3798000812530518,hop0,42,full,Train Loss
568,4.947246074676514,hop0,42,full,Train Loss (final)
10,0.0001985790440812707,hop0,42,full,Learning Rate
20,0.000195026645087637,hop0,42,full,Learning Rate
30,0.00019147424609400332,hop0,42,full,Learning Rate
40,0.00018792184710036963,hop0,42,full,Learning Rate
50,0.00018436944810673594,hop0,42,full,Learning Rate
60,0.00018081704911310226,hop0,42,full,Learning Rate
70,0.00017726465011946857,hop0,42,full,Learning Rate
80,0.00017371225112583488,hop0,42,full,Learning Rate
90,0.0001701598521322012,hop0,42,full,Learning Rate
100,0.0001666074531385675,hop0,42,full,Learning Rate
110,0.00016305506869684905,hop0,42,full,Learning Rate
120,0.00015950266970321536,hop0,42,full,Learning Rate
130,0.00015595027070958167,hop0,42,full,Learning Rate
140,0.00015239787171594799,hop0,42,full,Learning Rate
150,0.0001488454727223143,hop0,42,full,Learning Rate
160,0.0001452930737286806,hop0,42,full,Learning Rate
170,0.00014174067473504692,hop0,42,full,Learning Rate
180,0.00013818827574141324,hop0,42,full,Learning Rate
190,0.00013463587674777955,hop0,42,full,Learning Rate
200,0.00013108347775414586,hop0,42,full,Learning Rate
210,0.00012753107876051217,hop0,42,full,Learning Rate
220,0.00012397867976687849,hop0,42,full,Learning Rate
230,0.00012042628804920241,hop0,42,full,Learning Rate
240,0.00011687388905556872,hop0,42,full,Learning Rate
250,0.00011332149006193504,hop0,42,full,Learning Rate
260,0.00010976909106830135,hop0,42,full,Learning Rate
270,0.00010621669935062528,hop0,42,full,Learning Rate
280,0.00010266430035699159,hop0,42,full,Learning Rate
290,9.91119013633579e-05,hop0,42,full,Learning Rate
300,9.555950236972421e-05,hop0,42,full,Learning Rate
310,9.200710337609053e-05,hop0,42,full,Learning Rate
320,8.845470438245684e-05,hop0,42,full,Learning Rate
330,8.490231266478077e-05,hop0,42,full,Learning Rate
340,8.134991367114708e-05,hop0,42,full,Learning Rate
350,7.779751467751339e-05,hop0,42,full,Learning Rate
360,7.42451156838797e-05,hop0,42,full,Learning Rate
370,7.069271669024602e-05,hop0,42,full,Learning Rate
380,6.714031769661233e-05,hop0,42,full,Learning Rate
390,6.358791870297864e-05,hop0,42,full,Learning Rate
400,6.003552334732376e-05,hop0,42,full,Learning Rate
410,5.648312435369007e-05,hop0,42,full,Learning Rate
420,5.293072899803519e-05,hop0,42,full,Learning Rate
430,4.9378330004401505e-05,hop0,42,full,Learning Rate
440,4.582593101076782e-05,hop0,42,full,Learning Rate
450,4.227353565511294e-05,hop0,42,full,Learning Rate
460,3.872113666147925e-05,hop0,42,full,Learning Rate
470,3.516873766784556e-05,hop0,42,full,Learning Rate
480,3.161634231219068e-05,hop0,42,full,Learning Rate
