step,value,hop,seed,variant,metric
10,36.05179977416992,hop0,42,full,Train Loss
20,7.539299964904785,hop0,42,full,Train Loss
30,6.135700225830078,hop0,42,full,Train Loss
40,5.941100120544434,hop0,42,full,Train Loss
50,5.344600200653076,hop0,42,full,Train Loss
60,5.393099784851074,hop0,42,full,Train Loss
70,5.150700092315674,hop0,42,full,Train Loss
80,5.028900146484375,hop0,42,full,Train Loss
90,5.05049991607666,hop0,42,full,Train Loss
100,5.1442999839782715,hop0,42,full,Train Loss
110,4.839700222015381,hop0,42,full,Train Loss
120,4.906700134277344,hop0,42,full,Train Loss
130,4.856200218200684,hop0,42,full,Train Loss
140,4.716599941253662,hop0,42,full,Train Loss
150,4.480800151824951,hop0,42,full,Train Loss
160,4.471399784088135,hop0,42,full,Train Loss
170,4.293900012969971,hop0,42,full,Train Loss
180,4.427199840545654,hop0,42,full,Train Loss
190,4.426700115203857,hop0,42,full,Train Loss
200,4.622499942779541,hop0,42,full,Train Loss
210,4.241399765014648,hop0,42,full,Train Loss
220,4.47760009765625,hop0,42,full,Train Loss
230,4.4928998947143555,hop0,42,full,Train Loss
240,4.108500003814697,hop0,42,full,Train Loss
250,4.259900093078613,hop0,42,full,Train Loss
260,4.359499931335449,hop0,42,full,Train Loss
270,4.083099842071533,hop0,42,full,Train Loss
280,4.275700092315674,hop0,42,full,Train Loss
290,4.2835001945495605,hop0,42,full,Train Loss
300,3.935499906539917,hop0,42,full,Train Loss
310,3.7274999618530273,hop0,42,full,Train Loss
320,3.7904999256134033,hop0,42,full,Train Loss
330,3.68969988822937,hop0,42,full,Train Loss
340,3.9639999866485596,hop0,42,full,Train Loss
350,3.77810001373291,hop0,42,full,Train Loss
360,3.7432000637054443,hop0,42,full,Train Loss
370,3.7699999809265137,hop0,42,full,Train Loss
380,3.67330002784729,hop0,42,full,Train Loss
390,3.722399950027466,hop0,42,full,Train Loss
400,3.8087000846862793,hop0,42,full,Train Loss
410,3.4976000785827637,hop0,42,full,Train Loss
420,3.72760009765625,hop0,42,full,Train Loss
430,3.596400022506714,hop0,42,full,Train Loss
440,3.5708000659942627,hop0,42,full,Train Loss
450,3.256999969482422,hop0,42,full,Train Loss
460,3.2578999996185303,hop0,42,full,Train Loss
470,3.1547000408172607,hop0,42,full,Train Loss
480,3.335099935531616,hop0,42,full,Train Loss
490,3.262500047683716,hop0,42,full,Train Loss
500,3.323699951171875,hop0,42,full,Train Loss
510,3.135200023651123,hop0,42,full,Train Loss
520,3.2344000339508057,hop0,42,full,Train Loss
530,3.19350004196167,hop0,42,full,Train Loss
540,3.225399971008301,hop0,42,full,Train Loss
550,3.241300106048584,hop0,42,full,Train Loss
560,3.1607000827789307,hop0,42,full,Train Loss
570,3.0146000385284424,hop0,42,full,Train Loss
580,3.091399908065796,hop0,42,full,Train Loss
580,4.694599151611328,hop0,42,full,Train Loss (final)
10,0.0001986087008845061,hop0,42,full,Learning Rate
20,0.00019513042934704572,hop0,42,full,Learning Rate
30,0.00019165217236150056,hop0,42,full,Learning Rate
40,0.0001881739153759554,hop0,42,full,Learning Rate
50,0.00018469565839041024,hop0,42,full,Learning Rate
60,0.00018121738685294986,hop0,42,full,Learning Rate
70,0.0001777391298674047,hop0,42,full,Learning Rate
80,0.00017426087288185954,hop0,42,full,Learning Rate
90,0.00017078261589631438,hop0,42,full,Learning Rate
100,0.000167304344358854,hop0,42,full,Learning Rate
110,0.00016382608737330884,hop0,42,full,Learning Rate
120,0.00016034783038776368,hop0,42,full,Learning Rate
130,0.0001568695588503033,hop0,42,full,Learning Rate
140,0.00015339130186475813,hop0,42,full,Learning Rate
150,0.00014991304487921298,hop0,42,full,Learning Rate
160,0.00014643478789366782,hop0,42,full,Learning Rate
170,0.00014295651635620743,hop0,42,full,Learning Rate
180,0.00013947825937066227,hop0,42,full,Learning Rate
190,0.00013600000238511711,hop0,42,full,Learning Rate
200,0.00013252174539957196,hop0,42,full,Learning Rate
210,0.00012904347386211157,hop0,42,full,Learning Rate
220,0.0001255652168765664,hop0,42,full,Learning Rate
230,0.00012208695989102125,hop0,42,full,Learning Rate
240,0.00011860869562951848,hop0,42,full,Learning Rate
250,0.0001151304313680157,hop0,42,full,Learning Rate
260,0.00011165217438247055,hop0,42,full,Learning Rate
270,0.00010817391012096778,hop0,42,full,Learning Rate
280,0.00010469565313542262,hop0,42,full,Learning Rate
290,0.00010121738887391984,hop0,42,full,Learning Rate
300,9.773913188837469e-05,hop0,42,full,Learning Rate
310,9.426086762687191e-05,hop0,42,full,Learning Rate
320,9.078261064132676e-05,hop0,42,full,Learning Rate
330,8.730434637982398e-05,hop0,42,full,Learning Rate
340,8.382608939427882e-05,hop0,42,full,Learning Rate
350,8.034782513277605e-05,hop0,42,full,Learning Rate
360,7.68695681472309e-05,hop0,42,full,Learning Rate
370,7.339130388572812e-05,hop0,42,full,Learning Rate
380,6.991304690018296e-05,hop0,42,full,Learning Rate
390,6.643478263868019e-05,hop0,42,full,Learning Rate
400,6.295651837717742e-05,hop0,42,full,Learning Rate
410,5.947826139163226e-05,hop0,42,full,Learning Rate
420,5.6000000768108293e-05,hop0,42,full,Learning Rate
430,5.252174014458433e-05,hop0,42,full,Learning Rate
440,4.904347952106036e-05,hop0,42,full,Learning Rate
450,4.55652188975364e-05,hop0,42,full,Learning Rate
460,4.208695827401243e-05,hop0,42,full,Learning Rate
470,3.860869401250966e-05,hop0,42,full,Learning Rate
