step,value,hop,seed,variant,metric
10,0.78329998254776,hop0,42,full,Train Loss
20,0.4350999891757965,hop0,42,full,Train Loss
30,0.3935999870300293,hop0,42,full,Train Loss
40,0.39169999957084656,hop0,42,full,Train Loss
50,0.3873000144958496,hop0,42,full,Train Loss
60,0.3833000063896179,hop0,42,full,Train Loss
70,0.37770000100135803,hop0,42,full,Train Loss
80,0.3783000111579895,hop0,42,full,Train Loss
90,0.38530001044273376,hop0,42,full,Train Loss
100,0.37630000710487366,hop0,42,full,Train Loss
110,0.3765000104904175,hop0,42,full,Train Loss
120,0.3781000077724457,hop0,42,full,Train Loss
130,0.3856000006198883,hop0,42,full,Train Loss
140,0.37040001153945923,hop0,42,full,Train Loss
150,0.3815000057220459,hop0,42,full,Train Loss
160,0.37229999899864197,hop0,42,full,Train Loss
170,0.36070001125335693,hop0,42,full,Train Loss
180,0.35679998993873596,hop0,42,full,Train Loss
190,0.33649998903274536,hop0,42,full,Train Loss
200,0.34380000829696655,hop0,42,full,Train Loss
210,0.353300005197525,hop0,42,full,Train Loss
220,0.3407000005245209,hop0,42,full,Train Loss
230,0.3424000144004822,hop0,42,full,Train Loss
240,0.3345000147819519,hop0,42,full,Train Loss
250,0.3407000005245209,hop0,42,full,Train Loss
260,0.33899998664855957,hop0,42,full,Train Loss
270,0.34040001034736633,hop0,42,full,Train Loss
280,0.3368000090122223,hop0,42,full,Train Loss
290,0.35199999809265137,hop0,42,full,Train Loss
300,0.3440000116825104,hop0,42,full,Train Loss
310,0.33250001072883606,hop0,42,full,Train Loss
320,0.3303999900817871,hop0,42,full,Train Loss
330,0.34929999709129333,hop0,42,full,Train Loss
340,0.3240000009536743,hop0,42,full,Train Loss
350,0.2754000127315521,hop0,42,full,Train Loss
360,0.29580000042915344,hop0,42,full,Train Loss
370,0.296099990606308,hop0,42,full,Train Loss
380,0.28369998931884766,hop0,42,full,Train Loss
390,0.2824999988079071,hop0,42,full,Train Loss
400,0.2827000021934509,hop0,42,full,Train Loss
410,0.2851000130176544,hop0,42,full,Train Loss
420,0.2818000018596649,hop0,42,full,Train Loss
430,0.29499998688697815,hop0,42,full,Train Loss
440,0.2734000086784363,hop0,42,full,Train Loss
450,0.2637999951839447,hop0,42,full,Train Loss
460,0.27950000762939453,hop0,42,full,Train Loss
470,0.2775999903678894,hop0,42,full,Train Loss
480,0.28929999470710754,hop0,42,full,Train Loss
490,0.2770000100135803,hop0,42,full,Train Loss
500,0.2773999869823456,hop0,42,full,Train Loss
510,0.22859999537467957,hop0,42,full,Train Loss
520,0.20669999718666077,hop0,42,full,Train Loss
530,0.22259999811649323,hop0,42,full,Train Loss
540,0.2029999941587448,hop0,42,full,Train Loss
550,0.20900000631809235,hop0,42,full,Train Loss
560,0.2248000055551529,hop0,42,full,Train Loss
570,0.21449999511241913,hop0,42,full,Train Loss
580,0.21580000221729279,hop0,42,full,Train Loss
590,0.20190000534057617,hop0,42,full,Train Loss
600,0.22220000624656677,hop0,42,full,Train Loss
610,0.22059999406337738,hop0,42,full,Train Loss
620,0.210099995136261,hop0,42,full,Train Loss
630,0.20430000126361847,hop0,42,full,Train Loss
640,0.2069000005722046,hop0,42,full,Train Loss
650,0.19910000264644623,hop0,42,full,Train Loss
660,0.19859999418258667,hop0,42,full,Train Loss
668,0.3109331429004669,hop0,42,full,Train Loss (final)
10,0.00019879336468875408,hop0,42,full,Learning Rate
20,0.00019577676721382886,hop0,42,full,Learning Rate
30,0.00019276018429081887,hop0,42,full,Learning Rate
40,0.00018974358681589365,hop0,42,full,Learning Rate
50,0.00018672700389288366,hop0,42,full,Learning Rate
60,0.00018371040641795844,hop0,42,full,Learning Rate
70,0.00018069380894303322,hop0,42,full,Learning Rate
80,0.00017767722602002323,hop0,42,full,Learning Rate
