step,value,hop,seed,variant,metric
10,0.7712000012397766,hop0,42,full,Train Loss
20,0.4250999987125397,hop0,42,full,Train Loss
30,0.38679999113082886,hop0,42,full,Train Loss
40,0.38109999895095825,hop0,42,full,Train Loss
50,0.3792000114917755,hop0,42,full,Train Loss
60,0.37229999899864197,hop0,42,full,Train Loss
70,0.37220001220703125,hop0,42,full,Train Loss
80,0.36329999566078186,hop0,42,full,Train Loss
90,0.37880000472068787,hop0,42,full,Train Loss
100,0.387800008058548,hop0,42,full,Train Loss
110,0.39309999346733093,hop0,42,full,Train Loss
120,0.3693999946117401,hop0,42,full,Train Loss
130,0.36899998784065247,hop0,42,full,Train Loss
140,0.358599990606308,hop0,42,full,Train Loss
150,0.36970001459121704,hop0,42,full,Train Loss
160,0.3537999987602234,hop0,42,full,Train Loss
170,0.3472999930381775,hop0,42,full,Train Loss
180,0.3375000059604645,hop0,42,full,Train Loss
190,0.34119999408721924,hop0,42,full,Train Loss
200,0.32170000672340393,hop0,42,full,Train Loss
210,0.34700000286102295,hop0,42,full,Train Loss
220,0.3301999866962433,hop0,42,full,Train Loss
230,0.3246999979019165,hop0,42,full,Train Loss
240,0.3310000002384186,hop0,42,full,Train Loss
250,0.3353999853134155,hop0,42,full,Train Loss
260,0.3334999978542328,hop0,42,full,Train Loss
270,0.329800009727478,hop0,42,full,Train Loss
280,0.3188999891281128,hop0,42,full,Train Loss
290,0.32989999651908875,hop0,42,full,Train Loss
300,0.34380000829696655,hop0,42,full,Train Loss
310,0.33640000224113464,hop0,42,full,Train Loss
320,0.34279999136924744,hop0,42,full,Train Loss
330,0.33340001106262207,hop0,42,full,Train Loss
340,0.3025999963283539,hop0,42,full,Train Loss
350,0.2791999876499176,hop0,42,full,Train Loss
360,0.2662000060081482,hop0,42,full,Train Loss
370,0.28049999475479126,hop0,42,full,Train Loss
380,0.2872999906539917,hop0,42,full,Train Loss
390,0.26989999413490295,hop0,42,full,Train Loss
400,0.266400009393692,hop0,42,full,Train Loss
410,0.27619999647140503,hop0,42,full,Train Loss
420,0.27570000290870667,hop0,42,full,Train Loss
430,0.28929999470710754,hop0,42,full,Train Loss
440,0.2680000066757202,hop0,42,full,Train Loss
450,0.26190000772476196,hop0,42,full,Train Loss
460,0.2766999900341034,hop0,42,full,Train Loss
470,0.2689000070095062,hop0,42,full,Train Loss
480,0.2646999955177307,hop0,42,full,Train Loss
490,0.27869999408721924,hop0,42,full,Train Loss
500,0.26080000400543213,hop0,42,full,Train Loss
510,0.21490000188350677,hop0,42,full,Train Loss
520,0.21739999949932098,hop0,42,full,Train Loss
530,0.2126999944448471,hop0,42,full,Train Loss
540,0.19990000128746033,hop0,42,full,Train Loss
550,0.20800000429153442,hop0,42,full,Train Loss
560,0.20419999957084656,hop0,42,full,Train Loss
570,0.20399999618530273,hop0,42,full,Train Loss
580,0.19020000100135803,hop0,42,full,Train Loss
590,0.18520000576972961,hop0,42,full,Train Loss
600,0.19599999487400055,hop0,42,full,Train Loss
610,0.18880000710487366,hop0,42,full,Train Loss
620,0.20000000298023224,hop0,42,full,Train Loss
630,0.20440000295639038,hop0,42,full,Train Loss
640,0.20180000364780426,hop0,42,full,Train Loss
650,0.19329999387264252,hop0,42,full,Train Loss
660,0.19020000100135803,hop0,42,full,Train Loss
668,0.3018353283405304,hop0,42,full,Train Loss (final)
10,0.00019879336468875408,hop0,42,full,Learning Rate
20,0.00019577676721382886,hop0,42,full,Learning Rate
30,0.00019276018429081887,hop0,42,full,Learning Rate
40,0.00018974358681589365,hop0,42,full,Learning Rate
50,0.00018672700389288366,hop0,42,full,Learning Rate
60,0.00018371040641795844,hop0,42,full,Learning Rate
70,0.00018069380894303322,hop0,42,full,Learning Rate
80,0.00017767722602002323,hop0,42,full,Learning Rate
90,0.000174660628545098,hop0,42,full,Learning Rate
100,0.00017164404562208802,hop0,42,full,Learning Rate
110,0.0001686274481471628,hop0,42,full,Learning Rate
120,0.0001656108652241528,hop0,42,full,Learning Rate
130,0.00016259426774922758,hop0,42,full,Learning Rate
140,0.00015957767027430236,hop0,42,full,Learning Rate
150,0.00015656108735129237,hop0,42,full,Learning Rate
160,0.00015354448987636715,hop0,42,full,Learning Rate
170,0.00015052790695335716,hop0,42,full,Learning Rate
180,0.00014751130947843194,hop0,42,full,Learning Rate
190,0.00014449472655542195,hop0,42,full,Learning Rate
200,0.00014147812908049673,hop0,42,full,Learning Rate
210,0.0001384615316055715,hop0,42,full,Learning Rate
220,0.00013544494868256152,hop0,42,full,Learning Rate
230,0.0001324283512076363,hop0,42,full,Learning Rate
240,0.0001294117682846263,hop0,42,full,Learning Rate
250,0.00012639517080970109,hop0,42,full,Learning Rate
260,0.0001233785878866911,hop0,42,full,Learning Rate
270,0.00012036199041176587,hop0,42,full,Learning Rate
280,0.00011734540021279827,hop0,42,full,Learning Rate
290,0.00011432881001383066,hop0,42,full,Learning Rate
300,0.00011131221981486306,hop0,42,full,Learning Rate
310,0.00010829562233993784,hop0,42,full,Learning Rate
320,0.00010527903214097023,hop0,42,full,Learning Rate
330,0.00010226244194200262,hop0,42,full,Learning Rate
340,9.924585174303502e-05,hop0,42,full,Learning Rate
350,9.622926154406741e-05,hop0,42,full,Learning Rate
360,9.321267134509981e-05,hop0,42,full,Learning Rate
370,9.01960811461322e-05,hop0,42,full,Learning Rate
380,8.717948367120698e-05,hop0,42,full,Learning Rate
390,8.416289347223938e-05,hop0,42,full,Learning Rate
400,8.114630327327177e-05,hop0,42,full,Learning Rate
410,7.812971307430416e-05,hop0,42,full,Learning Rate
420,7.511312287533656e-05,hop0,42,full,Learning Rate
